"id","X","Y","Unique_Squirrel_ID","Shift","Date","Age","Primary_Fur_Color","Location","Specific_Location","Running","Chasing","Climbing","Eating","Foraging","Other_Activities","Kuks","Quaas","Moans","Tail_flags","Tail_twitches","Approaches","Indifferent","Runs_from"
"36","-73.96624389966810","40.78903818094410","28A-PM-1007-05","PM","2018-10-07","Adult","Cinnamon","Ground Plane","","True","False","False","False","True","","False","False","False","False","True","False","False","True"
"37","-73.96431539204280","40.78208185169570","22F-PM-1014-05","PM","2018-10-14","Adult","Gray","Ground Plane","","False","False","False","False","False","","False","False","False","False","False","False","False","False"
"38","-73.97420734529130","40.77579573804630","12B-AM-1007-01","AM","2018-10-07","Adult","Gray","Ground Plane","","False","True","False","False","False","","False","False","False","True","False","False","True","False"
"39","-73.97161470615530","40.78139110361790","18A-PM-1018-01","PM","2018-10-18","Adult","Gray","Above Ground","","False","False","True","False","False","","False","False","False","False","False","False","False","False"
"40","-73.95354106570770","40.79287117600610","36H-PM-1008-02","PM","2018-10-08","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"41","-73.96391592984460","40.78917746379880","29C-AM-1007-06","AM","2018-10-07","Adult","Gray","Ground Plane","","True","False","False","False","False","","False","False","False","False","False","False","False","True"
"42","-73.95795643386270","40.79593377950270","38C-PM-1014-09","PM","2018-10-14","Adult","Black","Ground Plane","","False","False","False","True","False","","False","False","False","False","False","True","False","False"
"43","-73.95746480975430","40.78925084286220","31H-PM-1008-02","PM","2018-10-08","Juvenile","Gray","Above Ground","","True","False","True","False","False","","False","False","False","False","True","False","True","False"
"44","-73.97025267533100","40.77059995882220","8H-AM-1017-06","AM","2018-10-17","Adult","Gray","Above Ground","","False","True","False","True","False","","False","False","False","False","False","False","True","False"
"45","-73.95796459404140","40.79186134984070","34F-AM-1007-01","AM","2018-10-07","Adult","Gray","Above Ground","","True","False","True","False","False","","False","False","False","False","False","False","False","True"
"46","-73.96732534173050","40.77495052529810","13H-PM-1010-02","PM","2018-10-10","Adult","Gray","Above Ground","tree","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"47","-73.96400328265290","40.78203098254480","22F-PM-1014-06","PM","2018-10-14","Adult","Gray","Ground Plane","","True","False","False","False","False","","False","False","False","False","True","False","True","False"
"48","-73.95959331954090","40.79058473323690","32E-AM-1007-13","AM","2018-10-07","Adult","Gray","Above Ground","","False","False","True","False","False","","False","False","False","False","False","False","False","False"
"49","-73.96022221167080","40.79377969942100","35C-AM-1007-05","AM","2018-10-07","Adult","Gray","Above Ground","","False","False","True","False","False","","False","False","False","False","False","False","False","False"
"50","-73.96806350709490","40.77924987364700","17E-AM-1017-05","AM","2018-10-17","Adult","Black","Above Ground","Branch","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"51","-73.98016664354010","40.76869053392120","2B-PM-1013-01","PM","2018-10-13","Adult","Gray","Ground Plane","","True","False","False","False","False","running (with nut)","False","False","False","False","False","False","False","False"
"52","-73.96756343268770","40.78134773525070","19D-AM-1007-01","AM","2018-10-07","Juvenile","Gray","Ground Plane","","False","False","True","True","False","","False","False","False","False","False","False","False","False"
"53","-73.95849706432130","40.79828863486960","40B-AM-1019-03","AM","2018-10-19","Juvenile","Gray","Ground Plane","","True","True","False","False","False","","False","False","False","False","True","True","False","False"
"54","-73.97602982411780","40.76819543669110","3E-PM-1008-07","PM","2018-10-08","Adult","Gray","Ground Plane","","False","False","False","True","True","","False","False","False","False","False","False","True","False"
"55","-73.95688021498180","40.79723991338160","39C-PM-1006-01","PM","2018-10-06","Adult","Gray","Ground Plane","","True","False","False","False","True","","False","False","False","False","False","False","True","False"
"56","-73.97246424363940","40.76905264411090","6G-AM-1008-02","AM","2018-10-08","Juvenile","Gray","Ground Plane","bush","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"57","-73.96901758385340","40.77604327200170","14F-AM-1007-05","AM","2018-10-07","Juvenile","Gray","Ground Plane","","False","False","False","True","False","","False","False","False","False","False","False","True","False"
"58","-73.97040828213560","40.76902809859560","6I-PM-1013-06","PM","2018-10-13","Adult","Gray","Ground Plane","","False","False","False","False","False","playing with #5","False","False","False","False","True","False","False","False"
"59","-73.96849107122720","40.77688116400210","15F-PM-1010-05","PM","2018-10-10","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"60","-73.97686748129420","40.77352326488720","8B-PM-1012-02","PM","2018-10-12","Adult","Gray","Ground Plane","hiding in bushes","False","False","False","False","True","","False","False","False","False","False","False","False","True"
"61","-73.97970848666130","40.76988852413490","3A-PM-1017-06","PM","2018-10-17","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","False","True"
"62","-73.95281926797700","40.79231304027930","36I-AM-1017-02","AM","2018-10-17","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"63","-73.97456300384920","40.76926026287450","5E-AM-1008-06","AM","2018-10-08","Adult","Cinnamon","Ground Plane","","True","False","False","False","False","","False","False","False","False","False","True","False","False"
"64","-73.95950023395080","40.79033657886940","32E-PM-1017-13","PM","2018-10-17","Adult","Gray","","","False","False","False","True","True","","False","False","False","False","False","False","True","False"
"65","-73.97418249922940","40.76894866579630","5F-PM-1007-03","PM","2018-10-07","Adult","Gray","Ground Plane","","False","False","False","False","False","hiding nut","False","False","False","False","True","False","True","False"
"66","-73.97492439011890","40.77613935517810","11B-PM-1014-05","PM","2018-10-14","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"67","-73.96838132555900","40.77801434437790","16E-PM-1018-06","PM","2018-10-18","Adult","Cinnamon","Ground Plane","On a rock","False","False","False","False","True","","False","False","False","False","True","False","True","False"
"68","-73.96942403275090","40.77558981266740","13F-AM-1007-02","AM","2018-10-07","Adult","Cinnamon","","","False","False","False","True","True","","False","False","False","False","False","False","True","False"
"69","-73.96890009789550","40.78283647352360","20B-PM-1013-10","PM","2018-10-13","Adult","Gray","Ground Plane","","False","False","False","False","True","drank from a pond of rain water","False","False","False","False","False","False","True","False"
"70","-73.98045288675470","40.76967536559860","3A-PM-1017-05","PM","2018-10-17","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","False","False"
"71","-73.95762459924550","40.78738625100010","29H-PM-1006-01","PM","2018-10-06","Adult","Gray","Above Ground","","False","False","True","False","False","sitting","False","False","False","False","False","False","True","False"
"72","-73.96660079356380","40.78450981315670","23C-PM-1014-03","PM","2018-10-14","Adult","Gray","Above Ground","","False","True","False","False","False","chasing (#4 across trees)","False","False","False","False","False","False","False","False"
"73","-73.96148483609000","40.79226455219050","33C-PM-1007-03","PM","2018-10-07","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","True","False","True","False"
"74","-73.95466541841460","40.79476392414910","38G-PM-1020-09","PM","2018-10-20","Adult","Gray","Ground Plane","","False","False","False","True","True","","False","False","False","True","False","False","True","False"
"75","-73.96671140272140","40.77688047024730","16G-PM-1017-01","PM","2018-10-17","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"76","-73.95300355646430","40.79218224576130","36I-PM-1007-07","PM","2018-10-07","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"77","-73.96156965776730","40.79512786223990","35A-AM-1014-03","AM","2018-10-14","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"78","-73.96447483600100","40.78838401047490","28C-PM-1006-01","PM","2018-10-06","Adult","Gray","Ground Plane","","False","False","False","False","False","gathering acorns","False","False","False","True","False","False","False","True"
"79","-73.96107055928680","40.79148296610510","32D-AM-1013-06","AM","2018-10-13","Adult","Cinnamon","Ground Plane","","True","False","False","True","True","eating (a mushroom),circles around us,really fat,scratching himself,grooming activity","False","False","False","False","True","True","False","False"
